time,open,high,low,close,volume
2022/06/23-11:15,4285.58,4291.25,4285.58,4291.25,389581
2022/06/23-11:20,4291.2,4292.9,4289.37,4290.85,385517
2022/06/23-11:25,4290.51,4292.41,4289.68,4289.95,475666
2022/06/23-11:30,4290.22,4291.3,4289.42,4291.3,424747
2022/06/23-13:05,4292.48,4299.3,4292.48,4297.83,648955
2022/06/23-13:10,4298.14,4302.24,4297.21,4297.21,552395
2022/06/23-13:15,4296.99,4297.11,4292.91,4294.83,436786
2022/06/23-13:20,4294.67,4301.84,4294.67,4298.76,494707
2022/06/23-13:25,4298.65,4299.61,4296.35,4296.82,420504
2022/06/23-13:30,4296.98,4309.58,4296.98,4308.51,730826
2022/06/23-13:35,4308.82,4322.56,4308.82,4320.15,866185
2022/06/23-13:40,4320.44,4330.02,4320.44,4326.57,844768
2022/06/23-13:45,4326.2,4328.72,4321.53,4326.03,737439
2022/06/23-13:50,4325.84,4325.9,4314.65,4321.08,579762
2022/06/23-13:55,4320.55,4322.0,4316.6,4321.61,485545
2022/06/23-14:00,4321.91,4328.47,4321.59,4328.47,587834
2022/06/23-14:05,4328.13,4328.13,4323.51,4326.85,556328
2022/06/23-14:10,4326.83,4333.75,4326.83,4332.5,618211
2022/06/23-14:15,4332.26,4334.79,4330.39,4330.42,567190
2022/06/23-14:20,4330.08,4332.29,4329.26,4331.6,535598
2022/06/23-14:25,4331.97,4332.0,4327.61,4327.72,492515
2022/06/23-14:30,4327.69,4330.5,4327.18,4329.49,488945
2022/06/23-14:35,4328.95,4336.59,4328.95,4335.51,656072
2022/06/23-14:40,4335.66,4338.32,4334.58,4338.31,635096
2022/06/23-14:45,4338.29,4340.47,4338.14,4338.49,658114
2022/06/23-14:50,4338.68,4338.77,4335.78,4337.87,685920
2022/06/23-14:55,4337.8,4340.94,4336.37,4340.7,806735
2022/06/23-15:00,4340.91,4343.88,4340.18,4343.88,808855
2022/06/24-09:35,4354.55,4355.58,4346.12,4348.33,2619544
2022/06/24-09:40,4348.51,4357.36,4347.02,4357.36,1726314
2022/06/24-09:45,4357.33,4359.04,4348.83,4351.81,1509659
2022/06/24-09:50,4351.9,4361.75,4351.9,4356.86,1297421
2022/06/24-09:55,4356.95,4359.16,4351.77,4352.83,1072167
2022/06/24-10:00,4353.12,4359.97,4347.86,4357.81,956110
2022/06/24-10:05,4357.88,4361.26,4355.58,4358.11,848060
2022/06/24-10:10,4357.9,4374.15,4357.13,4374.15,868286
2022/06/24-10:15,4373.95,4377.41,4372.16,4376.11,869880
2022/06/24-10:20,4376.05,4379.03,4370.95,4373.92,888677
2022/06/24-10:25,4374.71,4379.85,4365.54,4365.54,908527
2022/06/24-10:30,4365.21,4376.03,4363.8,4375.92,720434
2022/06/24-10:35,4376.32,4379.6,4372.4,4379.52,862114
2022/06/24-10:40,4379.18,4380.98,4372.97,4375.87,767917
2022/06/24-10:45,4376.48,4378.8,4374.24,4377.09,679516
2022/06/24-10:50,4377.17,4380.91,4377.15,4380.91,612613
2022/06/24-10:55,4381.35,4383.43,4377.49,4377.49,612185
2022/06/24-11:00,4377.23,4377.23,4367.82,4370.69,607905
2022/06/24-11:05,4370.92,4373.38,4362.9,4365.04,616306
2022/06/24-11:10,4365.47,4377.41,4365.47,4377.32,509706
2022/06/24-11:15,4377.45,4379.89,4376.52,4378.75,490795
2022/06/24-11:20,4378.9,4380.3,4376.62,4379.63,435546
2022/06/24-11:25,4379.77,4381.17,4375.29,4379.52,509306
2022/06/24-11:30,4379.24,4379.74,4366.52,4368.23,672206
2022/06/24-13:05,4369.04,4381.66,4368.56,4379.88,696651
2022/06/24-13:10,4379.79,4382.25,4378.32,4381.69,488919
2022/06/24-13:15,4381.52,4381.86,4377.54,4380.44,483953
2022/06/24-13:20,4380.55,4382.42,4379.31,4379.81,505950
